gemeinde_name,gemeinde_typ,landkreis_schluessel,gemeinde_schluessel,dach_flaeche_qm,dach_leistung_amtlich_kwp,dach_menge_amtlich_mwh,frei_flaeche_qm,frei_leistung_amtlich_kwp,bestand_csv_dach_anzahl,bestand_csv_dach_kwp,bestand_csv_balkon_anzahl,bestand_csv_balkon_kwp,bestand_csv_frei_anzahl,bestand_csv_frei_kwp,bestand_dach_kwp_gesamt,bestand_gesamt_kwp,ausschoepfung_dach_prozent
Königs Wusterhausen,Amtsfreie Stadt,12061,12061260,1756745.4,347158.4,265879.7058,54318960.0,380434.2,2068,29665.98,875,1054.73,4,3544.34,29665.98,34265.05,8.55
Krausnick-Groß Wasserburg,Gemeinde,12061,12061265,84208.7,16682,12435.0046,14018820.0,13520.0,53,796.79,19,23.72,0,0.0,796.79,820.51,4.78
Lieberose,Stadt,12061,12061308,164117.0,32463.6,24036.0274,45472430.0,434301.2,148,2554.55,34,43.18,1,9.66,2554.55,2607.39,7.87
Lübben (Spreewald),Amtsfreie Stadt,12061,12061316,954797.0,188903.2,143877.6882,75873390.0,885311.5,748,18028.67,202,231.71,10,27883.82,18028.67,46144.2,9.54
Luckau,Amtsfreie Stadt,12061,12061320,1067890.1,211310,162974.4396,138691260.0,2728081.7,529,15148.2,202,258.94,22,66749.49,15148.2,82156.63,7.17
Märkisch Buchholz,Stadt,12061,12061328,68554,13519.2,10025.2802,5191740.0,0.0,63,850.73,30,38.52,0,0.0,850.73,889.25,6.29
Märkische Heide,Amtsfreie Gemeinde,12061,12061329,652729.1,129294.8,96396.7335,110807060.0,4130972.2,391,12983.93,92,106.24,4,3774.57,12983.93,16864.74,10.04
Mittenwalde,Amtsfreie Stadt,12061,12061332,911945.3,180932.4,142132.7,83374920.0,1189746.8,674,11415.6,274,306.76,6,15304.98,11415.6,27027.34,6.31
Münchehofe,Gemeinde,12061,12061344,68200.1,13512.8,10095.5296,34367680.0,0.3,48,1961.4,21,25.22,0,0.0,1961.4,1986.62,14.52
Neu Zauche,Gemeinde,12061,12061352,131796.5,26042.8,19278.966,20893230.0,307733.6,109,2504.56,24,32.96,0,0.0,2504.56,2537.52,9.62
Rietzneuendorf-Staakow,Gemeinde,12061,12061405,74104.6,14639.2,11113.0012,21747520.0,384598.4,38,1174.55,23,29.91,2,5520.96,1174.55,6725.42,8.02
Schlepzig,Gemeinde,12061,12061428,85172.6,16843.6,12310.5525,13157820.0,30157.3,48,2748.23,11,13.48,0,0.0,2748.23,2761.71,16.32
Schönefeld,Amtsfreie Gemeinde,12061,12061433,1279977.0,254590.4,209387.8717,60521780.0,2661888.1,677,10699.08,281,341.22,6,8301.52,10699.08,19341.82,4.2
Schönwald,Gemeinde,12061,12061435,128991.9,25500.8,18942.7306,26829220.0,890230.5,130,4288.16,43,53.89,0,0.0,4288.16,4342.05,16.82
Schulzendorf,Amtsfreie Gemeinde,12061,12061444,368609.5,72395.6,55025.9983,3800360.0,75131.8,721,6019.25,321,374.41,0,0.0,6019.25,6393.66,8.31
Schwerin,Gemeinde,12061,12061448,64322.3,12648.8,9350.0134,3866140.0,209.1,77,751.3,34,49.92,0,0.0,751.3,801.22,5.94
Schwielochsee,Gemeinde,12061,12061450,249797.7,49278.4,36215.7056,81009170.0,729267.0,199,5500.39,81,90.37,0,0.0,5500.39,5590.76,11.16
Spreewaldheide,Gemeinde,12061,12061470,63579.9,12576.8,9178.9101,23008200.0,393360.7,38,415.61,12,13.58,1,12.04,415.61,441.23,3.3
Steinreich,Gemeinde,12061,12061471,80530.0,15966.4,11894.8269,16211500.0,948925.4,56,1553.18,9,9.6,0,0.0,1553.18,1562.78,9.73
Straupitz (Spreewald),Gemeinde,12061,12061476,100694.9,19901.6,15168.9827,16067350.0,129994.9,77,1054.7,17,18.85,0,0.0,1054.7,1073.55,5.3
Teupitz,Stadt,12061,12061492,144679.5,28519.2,20993.3601,15484690.0,6979.1,106,994.62,52,55.16,0,0.0,994.62,1049.78,3.49
Unterspreewald,Gemeinde,12061,12061510,112679.4,22275.2,16097.292,17321500.0,109646.8,71,1389.4,29,33.67,0,0.0,1389.4,1423.07,6.24
Wildau,Amtsfreie Stadt,12061,12061540,543195.5,107892.8,85172.5489,6585370.0,140346.3,407,5528.14,195,212.95,0,0.0,5528.14,5741.09,5.12
Zeuthen,Amtsfreie Gemeinde,12061,12061572,439581.7,86575.6,63869.0552,4726410.0,32770.6,765,6961.49,311,378.12,0,0.0,6961.49,7339.61,8.04
Bad Liebenwerda,Amtsfreie Stadt,12062,12062024,954736.6,189015.2,145889.8061,108126580.0,2312073.5,746,15206.09,167,193.2,12,50739.79,15206.09,66139.08,8.04
Crinitz,Gemeinde,12062,12062088,138664.5,27377.2,21031.3047,12025440.0,22390.9,108,1222.21,24,31.6,1,4120.56,1222.21,5374.37,4.46
Doberlug-Kirchhain,Amtsfreie Stadt,12062,12062092,1019767.2,201834,153305.1914,95132500.0,3051833.5,547,21479.75,200,227.51,8,6780.1,21479.75,28487.36,10.64
Elsterwerda,Amtsfreie Stadt,12062,12062124,690552.0,136772.0,107240.2455,33035090.0,122321.9,530,9742.86,147,166.15,18,16579.38,9742.86,26488.39,7.12
Falkenberg/Elster,Amtsfreie Stadt,12062,12062128,676276.5,133822.0,102843.5766,59177670.0,1108243.7,583,14672.44,130,150.91,35,70668.37,14672.44,85491.72,10.96
Fichtwald,Gemeinde,12062,12062134,117428.2,23249.2,17044.0702,16656220.0,407679.8,65,5276.29,9,15.09,2,999.21,5276.29,6290.59,22.69
Finsterwalde,Amtsfreie Stadt,12062,12062140,940599.6,186132.4,143641.8851,29798280.0,493099.7,651,13463.86,248,286.53,80,120235.67,13463.86,133986.06,7.23
Gorden-Staupitz,Gemeinde,12062,12062177,110047.0,21711.6,16405.6406,16300820.0,0.0,82,743.93,46,58.65,0,0.0,743.93,802.58,3.43
Gröden,Gemeinde,12062,12062196,167870.0,33229.2,25225.7073,16595370.0,316718.9,113,1589.77,34,39.82,2,3669.28,1589.77,5298.87,4.78
Großthiemig,Gemeinde,12062,12062208,107489.3,21276.8,16614.5065,17972450.0,539771.9,86,3362.99,20,22.43,0,0.0,3362.99,3385.42,15.81
Heideland,Gemeinde,12062,12062219,83136.6,16457.2,12338.6397,14802960.0,198919.1,32,736.31,15,19.86,0,0.0,736.31,756.17,4.47
Herzberg (Elster),Amtsfreie Stadt,12062,12062224,952197.8,188754.0,144689.7094,116435620.0,1491753.4,609,20824.71,150,174.07,15,18172.81,20824.71,39171.59,11.03
Hirschfeld,Gemeinde,12062,12062232,133665.1,26464.4,20412.2954,17711960.0,382643.7,131,2842.22,21,26.81,0,0.0,2842.22,2869.03,10.74
Hohenbucko,Gemeinde,12062,12062237,93831.6,18563.2,13976.4102,10972420.0,402397.7,69,2901.76,12,15.52,0,0.0,2901.76,2917.28,15.63
Hohenleipisch,Gemeinde,12062,12062240,173694.6,34282.8,25983.8171,26084800.0,7448.9,158,1305.49,63,80.65,0,0.0,1305.49,1386.14,3.81
Kremitzaue,Gemeinde,12062,12062282,135532.7,26865.2,20041.4198,16598970.0,799494.6,74,1535.64,25,23.96,0,0.0,1535.64,1559.6,5.72
Lebusa,Gemeinde,12062,12062289,105438.5,20861.2,15592.7483,10837450.0,60243.0,66,2248.62,18,27.8,0,0.0,2248.62,2276.42,10.78
Lichterfeld-Schacksdorf,Gemeinde,12062,12062293,156271.5,31009.6,23532.2638,17204400.0,546910.8,90,2076.55,30,34.35,2,1350.47,2076.55,3461.37,6.7
Massen-Niederlausitz,Gemeinde,12062,12062333,400166.5,79458.0,62473.354,33237670.0,969701.1,168,6362.7,63,72.37,4,2876.13,6362.7,9311.2,8.01
Merzdorf,Gemeinde,12062,12062336,73025.5,14430.4,10723.8952,7032950.0,84091.8,61,614.55,20,20.32,0,0.0,614.55,634.87,4.26
Mühlberg/Elbe,Amtsfreie Stadt,12062,12062341,489966.7,97046.4,73940.1517,68968720.0,616968.2,258,6058.67,111,135.25,3,4595.68,6058.67,10789.6,6.24
Plessa,Gemeinde,12062,12062372,313037.1,61918.4,46472.938,38012850.0,189715.3,204,3723.97,65,71.28,3,7658.01,3723.97,11453.26,6.01
Röderland,Amtsfreie Gemeinde,12062,12062410,376065.8,74324.0,57116.7756,39623150.0,970038.2,326,5500.81,110,140.59,3,20999.05,5500.81,26640.45,7.4
Rückersdorf,Gemeinde,12062,12062417,172766.4,34189.6,26013.7749,16833050.0,38127.3,91,1852.33,37,44.17,5,6319.72,1852.33,8216.22,5.42
Sallgast,Gemeinde,12062,12062425,173413.8,34259.2,25751.7183,23247170.0,910549.8,147,1538.51,33,38.09,1,36015.0,1538.51,37591.6,4.49
Schilda,Gemeinde,12062,12062440,54199.2,10697.2,7981.4115,4750780.0,63185.2,36,408.22,32,37.06,0,0.0,408.22,445.28,3.82
Schlieben,Stadt,12062,12062445,330558.1,65505.2,48557.5637,45123920.0,1309480.8,167,4600.39,50,60.98,7,32834.35,4600.39,37495.72,7.02
Schönborn,Gemeinde,12062,12062453,191335.2,37804.4,28831.5486,22739130.0,21237.7,103,1990.8,38,44.98,0,0.0,1990.8,2035.78,5.27
Schönewalde,Amtsfreie Stadt,12062,12062461,602214.3,119438.4,89485.7937,100829760.0,5273191.7,357,11950.37,64,78.28,6,10779.66,11950.37,22808.31,10.01
Schraden,Gemeinde,12062,12062464,67643.9,13376.4,9967.2062,12621090.0,421637.3,54,2209.01,12,12.12,0,0.0,2209.01,2221.13,16.51
Sonnewalde,Amtsfreie Stadt,12062,12062469,557193.5,110407.2,83174.4246,75567730.0,3188737.3,273,9927.97,62,80.29,4,3828.9,9927.97,13837.16,8.99
Tröbitz,Gemeinde,12062,12062492,67184.2,13319.6,10506.1917,4050860.0,53174.7,43,823.11,18,21.07,2,1142.76,823.11,1986.94,6.18
Uebigau-Wahrenbrück,Amtsfreie Stadt,12062,12062500,688096.3,136178.0,104407.3428,99414550.0,1616585.9,515,15684.88,129,146.51,2,2951.5,15684.88,18782.89,11.52
Brieselang,Amtsfreie Gemeinde,12063,12063036,644515.4,127306,98415.4942,31776050.0,393967.8,1127,12634.02,528,609.27,1,816.0,12634.02,14059.29,9.92
Dallgow-Döberitz,Amtsfreie Gemeinde,12063,12063056,435586.9,86192.8,65705.0158,59783570.0,191932.7,817,9103.61,283,319.85,6,10571.67,9103.61,19995.13,10.56
Falkensee,Amtsfreie Stadt,12063,12063080,1515317.9,299002.0,225665.1876,19306490.0,58788.4,2743,32450.64,1259,1467.52,3,22903.74,32450.64,56821.9,10.85
Friesack,Stadt,12063,12063088,251615.5,49874.4,37543.3685,54099200.0,0.0,137,7918.54,62,72.22,3,4932.12,7918.54,12922.88,15.88
Gollenberg,Gemeinde,12063,12063094,66936.5,13297.2,10216.1233,19903680.0,0.0,38,1203.75,7,11.6,0,0.0,1203.75,1215.35,9.05
Großderschau,Gemeinde,12063,12063112,72007.0,14283.6,10637.4828,18934820.0,0.0,40,672.67,9,10.66,0,0.0,672.67,683.33,4.71
Havelaue,Gemeinde,12063,12063134,155331.1,30820,23310.8966,58302340.0,0.0,105,3035.3,13,14.6,0,0.0,3035.3,3049.9,9.85
Wiesenaue,Gemeinde,12063,12063142,90273.0,17886.0,13407.0144,36828830.0,1405.5,65,1117.1,31,42.83,0,0.0,1117.1,1159.93,6.25
Ketzin/Havel,Amtsfreie Stadt,12063,12063148,564931.2,111903.6,85507.669,72971740.0,2292513.5,380,6824.14,174,207.52,2,88954.58,6824.14,95986.24,6.1
Kleßen-Görne,Gemeinde,12063,12063161,58338.1,11567.2,8653.3738,26017130.0,0.0,34,303.5,8,11.61,0,0.0,303.5,315.11,2.62
Kotzen,Gemeinde,12063,12063165,73738.8,14625.2,11184.2605,28740510.0,0.0,52,2220.11,15,17.61,3,8829.03,2220.11,11066.75,15.18
Märkisch Luch,Gemeinde,12063,12063186,153348.7,30379.2,22926.9033,47869720.0,13781.8,84,1943.26,40,48.68,1,29.0,1943.26,2020.94,6.4
