gemeinde_name,gemeinde_typ,landkreis_schluessel,gemeinde_schluessel,dach_flaeche_qm,dach_leistung_amtlich_kwp,dach_menge_amtlich_mwh,frei_flaeche_qm,frei_leistung_amtlich_kwp,bestand_csv_dach_anzahl,bestand_csv_dach_kwp,bestand_csv_balkon_anzahl,bestand_csv_balkon_kwp,bestand_csv_frei_anzahl,bestand_csv_frei_kwp,bestand_dach_kwp_gesamt,bestand_gesamt_kwp,ausschoepfung_dach_prozent
Werder (Havel),Amtsfreie Stadt,12069,12069656,1683769.2,333030.4,257921.4851,75935020.0,1663563.0,1440,15386.76,552,645.8,0,0.0,15386.76,16032.56,4.62
Wiesenburg/Mark,Amtsfreie Gemeinde,12069,12069665,646978.5,128010.8,96718.6979,90362200.0,4445.5,405,11992.77,131,155.89,1,3861.0,11992.77,16009.66,9.37
Wollin,Gemeinde,12069,12069680,106511.5,21098.8,16143.9007,16050820.0,598515.2,108,3147.4,11,11.21,1,736.97,3147.4,3895.58,14.92
Wusterwitz,Gemeinde,12069,12069688,226022.8,44583.6,33692.498,16575980.0,522762.1,192,2455.8,89,112.65,0,0.0,2455.8,2568.45,5.51
Ziesar,Stadt,12069,12069696,342794.7,67940.0,52829.8678,46125980.0,556452.2,130,8440.97,36,39.93,2,1547.9,8440.97,10028.8,12.42
Bad Wilsnack,Stadt,12070,12070008,249778.0,49395.2,37072.8906,44928360.0,74386.8,170,3808.86,60,72.0,1,748.4,3808.86,4629.26,7.71
Berge,Gemeinde,12070,12070028,127794.1,25364.8,19039.321,21772340.0,949811.8,69,1700.87,14,18.82,0,0.0,1700.87,1719.69,6.71
Breese,Gemeinde,12070,12070052,105220.8,20787.2,15745.9335,13448480.0,0.0,145,1298.14,41,51.66,0,0.0,1298.14,1349.8,6.24
Cumlosen,Gemeinde,12070,12070060,86708.3,17179.6,13049.6051,16380420.0,0.0,77,839.2,23,27.93,3,4548.34,839.2,5415.47,4.88
Gerdshagen,Gemeinde,12070,12070096,72661.6,14387.2,11146.2411,20881330.0,936668.3,47,1984.85,8,9.48,5,36816.68,1984.85,38811.01,13.8
Groß Pankow (Prignitz),Amtsfreie Gemeinde,12070,12070125,729336.9,144834.8,108728.9061,189970010.0,5970508.1,355,14237.21,60,69.56,2,993.6,14237.21,15300.37,9.83
Gülitz-Reetz,Gemeinde,12070,12070145,85201.3,16907.2,12731.295,19755300.0,533042.7,42,900.39,15,15.79,0,0.0,900.39,916.18,5.33
Gumtow,Amtsfreie Gemeinde,12070,12070149,597913.4,118638.4,88244.915,166471110.0,7400807.0,305,15255.51,76,89.68,24,292133.74,15255.51,307478.93,12.86
Halenbeck-Rohlsdorf,Gemeinde,12070,12070153,81415.1,16153.6,12049.7996,34547290.0,1588997.2,35,1932.64,10,13.4,10,228661.85,1932.64,230607.89,11.96
Karstädt,Amtsfreie Gemeinde,12070,12070173,985449.7,195655.6,147461.9995,196749290.0,3906202.7,506,15312.39,104,136.82,9,37061.27,15312.39,52510.48,7.83
Kümmernitztal,Gemeinde,12070,12070222,57000.2,11303.2,8482.5466,18853510.0,786728.7,30,1676.67,6,6.84,0,0.0,1676.67,1683.51,14.83
Lanz,Gemeinde,12070,12070236,108587.0,21538.8,16096.5826,29343630.0,434.5,61,1291.15,11,13.52,0,0.0,1291.15,1304.67,5.99
Legde/Quitzöbel,Gemeinde,12070,12070241,100967.8,20034.4,14886.9696,27751950.0,3737.6,56,926.28,13,13.44,1,749.72,926.28,1689.44,4.62
Lenzen (Elbe),Stadt,12070,12070244,269491.1,53350.0,40597.7163,56993640.0,340975.7,152,2960.9,50,62.64,1,13.2,2960.9,3036.74,5.55
Lenzerwische,Gemeinde,12070,12070246,111456.5,22142.0,16287.1477,36824750.0,0.0,36,1053.16,10,14.36,0,0.0,1053.16,1067.52,4.76
Marienfließ,Gemeinde,12070,12070266,143774.9,28548.0,21802.1248,63878820.0,1861353.3,54,1875.37,16,25.12,7,88362.62,1875.37,90263.11,6.57
Meyenburg,Stadt,12070,12070280,291018.2,57760.4,45341.8511,42367570.0,1817174.5,101,6153.01,43,51.36,1,2799.36,6153.01,9003.73,10.65
Perleberg,Amtsfreie Stadt,12070,12070296,955987.5,189543.2,146010.2765,93979120.0,2967200.4,617,15732.71,152,181.73,6,61327.86,15732.71,77242.3,8.3
Pirow,Gemeinde,12070,12070300,100300.0,19912.4,15125.3101,32867390.0,564845.9,54,1312.9,8,7.51,0,0.0,1312.9,1320.41,6.59
Plattenburg,Amtsfreie Gemeinde,12070,12070302,556718.0,110474.8,82121.8098,138055440.0,6242860.1,290,6226.48,60,61.15,0,0.0,6226.48,6287.63,5.64
Pritzwalk,Amtsfreie Stadt,12070,12070316,1182670.8,234870,183051.5272,148390930.0,6372145.7,538,19200.6,185,220.54,3,13129.77,19200.6,32550.91,8.17
Putlitz,Stadt,12070,12070325,352574.3,69857.6,52341.0304,97056070.0,621002.6,181,4429.54,46,52.8,3,9541.8,4429.54,14024.14,6.34
Rühstädt,Gemeinde,12070,12070348,79248.5,15727.6,11778.4647,23972490.0,0.0,58,973.98,9,12.87,0,0.0,973.98,986.85,6.19
Triglitz,Gemeinde,12070,12070393,81731.7,16197.6,12092.5934,28432420.0,998575.0,53,1840.69,6,8.27,1,7872.48,1840.69,9721.44,11.36
Weisen,Gemeinde,12070,12070416,86641.5,17146.4,13302.0081,10463950.0,43374.1,66,860.62,30,39.54,3,4357.58,860.62,5257.74,5.02
Wittenberge,Amtsfreie Stadt,12070,12070424,1046297.7,207378.8,162118.0608,36303790.0,20990.9,556,9769.7,223,267.55,3,8754.3,9769.7,18791.55,4.71
Briesen,Gemeinde,12071,12071028,66608.0,13172.8,9734.1752,5133920.0,57046.8,64,1616.42,29,31.67,0,0.0,1616.42,1648.09,12.27
Burg (Spreewald),Gemeinde,12071,12071032,408531.8,80674,60599.7802,29672140.0,0.0,334,4592.58,88,107.44,1,10.53,4592.58,4710.55,5.69
Dissen-Striesow,Gemeinde,12071,12071041,104077.3,20600.4,15413.6099,15192280.0,286040.3,85,1181.63,31,36.83,0,0.0,1181.63,1218.46,5.74
Döbern,Stadt,12071,12071044,266350.4,52610,39716.722,6129210.0,109955.9,172,2079.59,82,87.81,3,9612.59,2079.59,11779.99,3.95
Drachhausen,Gemeinde,12071,12071052,113223.2,22350,16436.4949,32911660.0,53453.6,65,1996.16,21,27.26,0,0.0,1996.16,2023.42,8.93
Drebkau,Amtsfreie Stadt,12071,12071057,571042.1,112923.2,85020.761,67744240.0,2542216.8,393,8562.88,169,198.06,4,28477.52,8562.88,37238.46,7.58
Drehnow,Gemeinde,12071,12071060,69767.0,13811.2,10124.6102,8319480.0,3640.0,67,1317.14,7,7.6,0,0.0,1317.14,1324.74,9.54
Felixsee,Gemeinde,12071,12071074,174290.7,34406.0,25611.4826,12442200.0,622652.3,140,3190.41,49,55.44,2,3698.74,3190.41,6944.59,9.27
Forst (Lausitz),Amtsfreie Stadt,12071,12071076,1388800.7,274606.8,211816.7403,60864200.0,653214.6,1003,18500.67,338,365.97,23,151548.59,18500.67,170415.23,6.74
Groß Schacksdorf-Simmersdorf,Gemeinde,12071,12071153,102181.7,20259.6,15148.3082,17085640.0,497042.3,107,3175.83,9,8.87,25,125949.01,3175.83,129133.71,15.68
Guben,Amtsfreie Stadt,12071,12071160,1096073.1,217428.0,172473.5463,29148480.0,381083.4,640,13787.59,211,256.7,6,23391.1,13787.59,37435.39,6.34
Guhrow,Gemeinde,12071,12071164,53935.1,10653.6,7866.2621,5405960.0,31068.1,56,609.6,15,18.83,0,0.0,609.6,628.43,5.72
Heinersbrück,Gemeinde,12071,12071176,88689.8,17565.2,13166.5113,11875430.0,353471.8,52,1093.35,19,23.22,0,0.0,1093.35,1116.57,6.22
Jämlitz-Klein Düben,Gemeinde,12071,12071189,50670.8,10008.0,7374.7421,19417520.0,351542.4,39,260.21,7,8.34,0,0.0,260.21,268.55,2.6
Jänschwalde,Gemeinde,12071,12071193,208735.0,41372.4,30980.4258,42711670.0,344016.3,148,3452.7,40,43.68,10,30191.01,3452.7,33687.39,8.35
Kolkwitz,Amtsfreie Gemeinde,12071,12071244,953835.2,188687.2,143312.5281,75400200.0,1115345.4,970,12992.27,313,369.11,8,14458.16,12992.27,27819.54,6.89
Neiße-Malxetal,Gemeinde,12071,12071294,205560.5,40656.8,29919.8062,25844460.0,601211.3,113,2735.16,46,58.06,2,9111.53,2735.16,11904.75,6.73
Neuhausen/Spree,Amtsfreie Gemeinde,12071,12071301,540153.5,106796.8,79494.931,88440920.0,2895086.1,588,9279.33,176,196.48,31,153655.83,9279.33,163131.64,8.69
Peitz,Stadt,12071,12071304,311524.9,61692.8,47080.604,10094110.0,73571.5,326,3415.42,86,98.19,57,76601.83,3415.42,80115.44,5.54
Schenkendöbern,Amtsfreie Gemeinde,12071,12071337,499403.0,98881.6,75504.0068,139342800.0,1874692.9,394,13709.51,91,103.86,2,2179.93,13709.51,15993.3,13.86
Schmogrow-Fehrow,Gemeinde,12071,12071341,97477.1,19253.6,14473.3367,22980670.0,6026.4,76,1839.61,21,25.18,0,0.0,1839.61,1864.79,9.55
Spremberg,Amtsfreie Stadt,12071,12071372,1883426.0,373278.0,288792.0981,101798990.0,2770279.7,1117,24579.67,435,504.93,42,15528.74,24579.67,40613.34,6.58
Tauer,Gemeinde,12071,12071384,71372.6,14111.2,10790.0392,31193860.0,7968.2,69,754.98,23,25.17,0,0.0,754.98,780.15,5.35
Teichland,Gemeinde,12071,12071386,281630.1,56006.4,43706.135,21001670.0,232934.4,126,1133.68,39,42.52,0,0.0,1133.68,1176.2,2.02
Tschernitz,Gemeinde,12071,12071392,178769.3,35460.0,26962.2177,8070900.0,166999.0,58,517.27,34,42.35,3,2570.48,517.27,3130.1,1.46
Turnow-Preilack,Gemeinde,12071,12071401,123892.7,24514.4,18504.0963,25574880.0,71987.7,126,2756.74,28,34.97,1,1079.85,2756.74,3871.56,11.25
Welzow,Amtsfreie Stadt,12071,12071408,296031.3,58443.6,44587.6293,20712820.0,916053.1,175,2237.41,106,124.8,1,2800.0,2237.41,5162.21,3.83
Werben,Gemeinde,12071,12071412,167943.5,33122.8,24841.1414,20941160.0,14155.5,128,3803.56,38,46.62,5,2022.12,3803.56,5872.3,11.48
Wiesengrund,Gemeinde,12071,12071414,163248.6,32292.4,23887.9939,25122300.0,1286780.9,151,3426.11,39,41.2,5,32385.76,3426.11,35853.07,10.61
Am Mellensee,Amtsfreie Gemeinde,12072,12072002,742168.3,146954.8,109130.6558,68281100.0,1034919.5,502,7214.45,260,308.75,0,0.0,7214.45,7523.2,4.91
Baruth/Mark,Amtsfreie Stadt,12072,12072014,814317.6,161808.0,127017.6219,129545410.0,1021938.1,300,15877.99,106,119.55,4,2830.56,15877.99,18828.1,9.81
Blankenfelde-Mahlow,Amtsfreie Gemeinde,12072,12072017,1251424.9,247318.0,191730.5775,38929080.0,623349.9,1789,19435.91,846,979.9,0,0.0,19435.91,20415.81,7.86
Dahme/Mark,Stadt,12072,12072053,692563.2,137205.6,102653.2328,87349400.0,4355772.0,388,15948.11,93,121.97,3,69941.32,15948.11,86011.4,11.62
Dahmetal,Gemeinde,12072,12072055,109874.0,21802.8,16046.0896,23574260.0,696225.4,62,4093.6,13,16.03,0,0.0,4093.6,4109.63,18.78
Großbeeren,Amtsfreie Gemeinde,12072,12072120,1031313.3,205311.2,170623.82,40469290.0,379517.4,730,19551.42,221,245.35,2,11065.38,19551.42,30862.15,9.52
Ihlow,Gemeinde,12072,12072157,159133.6,31543.6,23577.9687,31519760.0,1845795.6,85,2043.14,13,13.08,0,0.0,2043.14,2056.22,6.48
Jüterbog,Amtsfreie Stadt,12072,12072169,1087803.4,215422.8,161720.7566,161251790.0,2354141.5,496,15605.17,218,235.38,2,12338.8,15605.17,28179.35,7.24
Luckenwalde,Amtsfreie Stadt,12072,12072232,1333028.7,263911.6,206279.1304,30604970.0,306397.9,771,14031.48,399,475.87,11,20819.77,14031.48,35327.12,5.32
Ludwigsfelde,Amtsfreie Stadt,12072,12072240,2010800.4,400052,324711.9795,75112030.0,1233751.4,1495,35358.4,504,568.42,0,0.0,35358.4,35926.82,8.84
Niedergörsdorf,Amtsfreie Gemeinde,12072,12072297,840391.1,166667.2,126254.4779,173458200.0,8860915.3,457,11244.74,112,134.05,3,9986.13,11244.74,21364.92,6.75
Niederer Fläming,Gemeinde,12072,12072298,675341.2,133944.8,100335.5873,132625380.0,7560329.7,291,14001.73,63,77.12,1,749.65,14001.73,14828.5,10.45
Nuthe-Urstromtal,Amtsfreie Gemeinde,12072,12072312,1039627.7,206237.6,159410.6379,224267320.0,181574.4,607,22404.14,216,269.01,7,125771.25,22404.14,148444.4,10.86
Rangsdorf,Amtsfreie Gemeinde,12072,12072340,673869.2,133616.8,105465.2708,22536860.0,86519.4,720,7476.8,348,390.48,1,3.6,7476.8,7870.88,5.6
Trebbin,Amtsfreie Stadt,12072,12072426,932908.6,185130.4,143946.4986,87655570.0,1460799.9,674,14143.56,234,284.61,7,81390.74,14143.56,95818.91,7.64
Zossen,Amtsfreie Stadt,12072,12072477,1346225.9,266619.6,201337.4866,133810060.0,1960221.9,1166,20863.7,514,569.62,4,9580.44,20863.7,31013.76,7.83
Angermünde,Amtsfreie Stadt,12073,12073008,1140724.2,225831.2,171933.3337,228493230.0,2978283.0,748,17194.77,255,308.41,12,12076.36,17194.77,29579.54,7.61
Boitzenburger Land,Amtsfreie Gemeinde,12073,12073069,609384.8,121053.2,90841.2245,113688410.0,947465.6,234,19339.34,86,98.04,8,237861.39,19339.34,257298.77,15.98
Brüssow,Stadt,12073,12073085,260419.0,51658.0,38854.6687,89294630.0,4324040.3,118,4867.99,36,43.34,0,0.0,4867.99,4911.33,9.42
Carmzow-Wallmow,Gemeinde,12073,12073093,65083.3,12921.2,9668.8043,29583340.0,1908824.3,45,2285.77,5,3.29,0,0.0,2285.77,2289.06,17.69
Casekow,Gemeinde,12073,12073097,288396.8,57266.4,43150.6412,75746130.0,1014634.7,119,5039.49,50,61.77,0,0.0,5039.49,5101.26,8.8
Flieth-Stegelitz,Gemeinde,12073,12073157,74145.5,14670.0,10899.8156,33413990.0,0.0,63,2196.36,6,9.66,0,0.0,2196.36,2206.02,14.97
Gartz (Oder),Stadt,12073,12073189,236395.6,46747.2,35395.2634,48215730.0,2626.4,190,3819.26,50,60.99,5,569.52,3819.26,4449.77,8.17
Gerswalde,Gemeinde,12073,12073201,196409.2,38901.6,28913.02,66605720.0,464161.0,107,2142.61,25,32.15,0,0.0,2142.61,2174.76,5.51
Göritz,Gemeinde,12073,12073216,88929.3,17624,13209.7705,23518530.0,1148532.4,60,669.58,22,26.17,0,0.0,669.58,695.75,3.8
Gramzow,Gemeinde,12073,12073225,221919.7,43978.8,33123.5451,60026230.0,1263708.6,113,4142.0,44,53.55,0,0.0,4142.0,4195.55,9.42
Grünow,Gemeinde,12073,12073261,104179.8,20651.2,15453.8523,31873370.0,1906006.2,111,2457.25,21,26.51,4,32865.42,2457.25,35349.18,11.9
Hohenselchow-Groß Pinnow,Gemeinde,12073,12073309,97447.7,19332.0,14496.7793,33010800.0,2192.7,64,1179.05,14,19.49,0,0.0,1179.05,1198.54,6.1
Lychen,Amtsfreie Stadt,12073,12073384,267455.9,52887.6,39237.9386,52218800.0,11063.6,158,3823.21,70,73.14,1,499.89,3823.21,4396.24,7.23
Mescherin,Gemeinde,12073,12073393,101955.8,20228.8,14929.198,25590380.0,878207.9,66,4257.04,15,19.07,1,10.56,4257.04,4286.67,21.04
Milmersdorf,Gemeinde,12073,12073396,160241.2,31746.4,24153.2015,26086570.0,0.0,92,3713.05,45,47.37,1,1661.38,3713.05,5421.8,11.7
Mittenwalde,Gemeinde,12073,12073404,57090.1,11320.8,8497.2582,19148570.0,623944.5,28,2914.28,10,14.4,0,0.0,2914.28,2928.68,25.74
Nordwestuckermark,Amtsfreie Gemeinde,12073,12073429,604390.3,119727.6,89979.6294,199299350.0,4321924.6,349,11263.95,95,118.74,3,18289.91,11263.95,29672.6,9.41
Oberuckersee,Gemeinde,12073,12073430,204149.5,40338.4,29931.7832,64446200.0,1499152.1,147,2969.22,66,76.76,0,0.0,2969.22,3045.98,7.36
Pinnow,Mitverwaltete Gemeinde,12073,12073440,141761.2,28208.8,22420.3102,11519330.0,249640.0,56,3422.02,15,19.68,1,2533.68,3422.02,5975.38,12.13
Prenzlau,Amtsfreie Stadt,12073,12073452,1267558.8,251594.0,197797.7004,120754690.0,3464918.0,608,19992.49,200,239.1,20,44612.84,19992.49,64844.43,7.95
Randowtal,Gemeinde,12073,12073458,122114.2,24216.8,18140.7007,59206950.0,3186011.2,59,866.89,21,26.39,0,0.0,866.89,893.28,3.58
Schenkenberg,Gemeinde,12073,12073490,69809.9,13825.6,10564.8996,28120880.0,1137232.1,36,1598.83,7,7.62,0,0.0,1598.83,1606.45,11.56
Schönfeld,Gemeinde,12073,12073520,60385.1,12000.4,9047.2017,26852400.0,1360868.6,23,2427.38,13,13.66,0,0.0,2427.38,2441.04,20.23
Schwedt/Oder,Amtsfreie Stadt,12073,12073532,2292227.6,455033.2,357679.2157,268900820.0,2909370.3,1050,20625.89,497,589.84,35,13301.57,20625.89,34517.3,4.53
Tantow,Gemeinde,12073,12073565,83604.2,16571.2,12418.7103,31952610.0,523713.3,60,1452.21,14,15.59,0,0.0,1452.21,1467.8,8.76
Temmen-Ringenwalde,Gemeinde,12073,12073569,66963.2,13250.8,9914.6214,39942940.0,0.0,43,1247.57,8,10.91,0,0.0,1247.57,1258.48,9.42
Templin,Amtsfreie Stadt,12073,12073572,1078026.5,213269.2,163296.9839,199576310.0,1798881.9,729,16596.66,269,326.91,10,87133.06,16596.66,104056.63,7.78
Uckerfelde,Gemeinde,12073,12073578,125404.3,24867.6,18753.568,42968940.0,2124411.5,89,2656.67,22,28.74,7,36500.83,2656.67,39186.24,10.68
Uckerland,Amtsfreie Gemeinde,12073,12073579,425768.1,84466.0,63000.1163,150314280.0,4092450.4,217,11125.48,65,78.48,1,128.16,11125.48,11332.12,13.17
Zichow,Gemeinde,12073,12073645,90863.6,18032.8,13473.2143,29117110.0,172621.3,28,1273.64,20,22.55,0,0.0,1273.64,1296.19,7.06
